# proof-ledger.tsv — the drive-access proof backlog: what we must prove, and what
# has actually been proven, for groupless/sudoless dumping. Machine-checked by
# scripts/proof-status.sh. This is the "new system": every line carries a hash of
# the recipe fragments that DELIVER its mechanism, so a proof cannot silently rot.
#
# Three states, nothing in between:
#   not-yet  — an OPEN obligation. The mechanism exists in the tree, but it has NOT
#              been proven under this system yet. mech_hash = '-', date = '-',
#              evidence = 'not-yet'. Listed loudly; NOT drift-checked (there is no
#              proof to invalidate). This is where EVERY line starts.
#   blocked  — red IS proven (the mechanism is delivered and load-bearing), green is
#              blocked BY UPSTREAM at exactly one version.
#              evidence = 'blocked:<version>:<path>'. Passes through: not counted as
#              open, not counted as proven, does not hold the gate shut. Drift-checked
#              like a proof, PLUS: the moment the tool's Version differs from
#              <version>, the entry fails loudly and demands a re-judgement.
#              That auto-recheck is the entire reason this state exists instead of
#              just marking such a line 'proven': a fake green would sit there
#              forever and nobody would ever measure it again -- which is exactly
#              the information drift this ledger exists to prevent. It also keeps
#              'proven' meaning ONE thing. The moment it can also mean "we judged it
#              fine", a reader must check every green to see which kind it is, and
#              the human eye is back in the loop.
#   proven   — measured, with a saved log. evidence = 'log:<path>', date = the
#              measurement date, mech_hash = the recipe state AT that measurement.
#              From then on it IS drift-checked: if the udev rule / scriptlet /
#              %caps() / permissions profile changes, the hash moves and the proof
#              is declared stale -> re-measure.
#
# The artifact is READ, not just resolved (since 2026-07-17). A 'proven' log must
# carry a RED half, a GREEN half and a VERDICT line; a 'blocked' artifact must carry
# a RED half and is NOT asked for a GREEN -- that is the thing being blocked. Both
# log conventions in proofs/ count, because both are real measurements:
#     --- RED (A/B: cap stripped with `setcap -r`, then restored) ---   long form
#     RED (setcap -r): "not permitted" at D8 lead-in ; permit-errors 1  compact form
# Why mechanise it: "green != proven" was doctrine, and doctrine lives in whoever
# remembers it. A green-only log passed exactly like a real A/B. Twice on 2026-07-17
# a control in this very repo reported success while doing nothing at all -- a run
# that could not have failed is not evidence, and only the tool can insist on that.
#
# Nothing is 'proven' today: the move to OBS and this ledger are new, and we have
# re-measured nothing under it. That is correct and expected -- the backlog is the
# point. To close one: measure per the drive-access-verification skill, save the
# log, then set that row's evidence=log:<path>, date=<today>, mech_hash=AUTO, and
# run `proof-status.sh --refresh` (it fills AUTO from the live recipe).
#
# Fingerprint is keyed on the MECHANISM, never the version: a redumper b731->b732
# bump leaves the cap/udev fragments untouched, so a proof survives it; touching
# the scriptlet moves the hash and voids it. (Proven empirically, 2026-07-15; and
# again unplanned on 2026-07-17, when the watcher landed b733 mid-rebuild: Version,
# Release and a changelog entry all moved, and not one proof drifted.)
#
# 2026-07-17: every hash below was RE-BASELINED once, deliberately. The slice used
# to hash RAW spec text, and the cap directives are written through macros --
# `%{_bindir}/redumper%{rdbuild}` is byte-identical in redumper729 and redumper732,
# `%{aarudir}/aaru` in aaru and aaru5. Those pairs therefore carried the SAME
# fingerprint, and editing `%global rdbuild` would have moved the capability to a
# different binary with the ledger staying green. The slice now also hashes the
# %global/%define lines it actually references. That changes every hash without
# anything in the tree having changed, so this is NOT the forbidden "silently
# re-stamp a standing proof": before stamping, all 27 mechanism files were compared
# under the NEW function against their 2026-07-15 state (git), and all 27 were
# byte-identical. The mechanisms did not move; only our view of them got sharper.
# A row whose file HAD moved would have gone back to not-yet, not been stamped.
#
# Cap POLICY is identical on all three lanes (only the MECHANISM differs: Fedora
# %caps(), openSUSE permissions framework, Debian setcap in postinst): the six SCSI
# tools below get cap_sys_rawio, the two front-ends get none. So there is
# deliberately NO entry for mpf or redumper-gui on ANY lane -- a file capability
# makes a process non-dumpable and kills the GUI's file dialog; the cap rides the
# SCSI tool they point at. The coverage check knows this and will not demand a
# proof for them. Do not "helpfully" add one.
#
# Format (pipe-separated):  tool | lane | property | date | mech_hash | evidence | mech_files
#   mech_files  comma-separated, repo-relative; *.spec is sliced to its mechanism
#               fragments (%caps(), %post/%postun, openSUSE permissions profile),
#               everything else (.rules, postinst) is hashed whole.
#
tool|lane|property|date|mech_hash|evidence|mech_files
aaru|fedora|vendor-cap|2026-07-15|b999c8ae1138c9f5|log:proofs/aaru-fedora-vendor-cap.log|fedora/aaru/aaru.spec
aaru5|fedora|vendor-cap|2026-07-15|e350b8066d99ac41|blocked:5.4.2:proofs/aaru5-vendor-cap-BLOCKED.md|fedora/aaru5/aaru5.spec
discimagecreator|fedora|vendor-cap|2026-07-15|b9b33d96bab25e61|log:proofs/discimagecreator-fedora-vendor-cap.log|fedora/discimagecreator/discimagecreator.spec
redumper|fedora|vendor-cap|2026-07-15|fb0579d39f362d6f|log:proofs/redumper-fedora-vendor-cap.log|fedora/redumper/redumper.spec
redumper-rgui|fedora|vendor-cap|-|-|not-yet|fedora/redumper-rgui/redumper-rgui.spec
redumper-mpf|fedora|vendor-cap|-|-|not-yet|fedora/redumper-mpf/redumper-mpf.spec
aaru|fedora|node-floppy|2026-07-15|30ea05e5c84e003a|log:proofs/aaru-fedora-node-floppy.log|fedora/aaru/70-aaru-floppy.rules,fedora/aaru/aaru.spec
aaru5|fedora|node-floppy|2026-07-15|e89c652cc880fe3e|log:proofs/aaru5-fedora-node-floppy.log|fedora/aaru5/70-aaru5-floppy.rules,fedora/aaru5/aaru5.spec
discimagecreator|fedora|node-floppy|2026-07-15|89b9544ad31019f0|log:proofs/discimagecreator-fedora-node-floppy.log|fedora/discimagecreator/70-discimagecreator-floppy.rules,fedora/discimagecreator/discimagecreator.spec
redumper|debian|vendor-cap|2026-07-15|5111b9c6410cdef5|log:proofs/redumper-debian-vendor-cap.log|ubuntu/redumper/debian/redumper.postinst
redumper-rgui|debian|vendor-cap|-|-|not-yet|ubuntu/redumper-rgui/debian/redumper-rgui.postinst
redumper-mpf|debian|vendor-cap|-|-|not-yet|ubuntu/redumper-mpf/debian/redumper-mpf.postinst
aaru|debian|vendor-cap|2026-07-15|94e4f73523de3c9f|log:proofs/aaru-debian-vendor-cap.log|ubuntu/aaru/debian/aaru.postinst
aaru5|debian|vendor-cap|2026-07-15|c21169016f0524f8|blocked:5.4.2:proofs/aaru5-vendor-cap-BLOCKED.md|ubuntu/aaru5/debian/aaru5.postinst
discimagecreator|debian|vendor-cap|2026-07-15|107cee8d2ac3123a|log:proofs/discimagecreator-debian-vendor-cap.log|ubuntu/discimagecreator/debian/discimagecreator.postinst
aaru|debian|node-floppy|2026-07-15|3acd67a788d0e67e|log:proofs/aaru-debian-node-floppy.log|ubuntu/aaru/debian/70-aaru-floppy.rules,ubuntu/aaru/debian/aaru.postinst
aaru5|debian|node-floppy|2026-07-15|0f686134f9f0f1df|log:proofs/aaru5-debian-node-floppy.log|ubuntu/aaru5/debian/70-aaru5-floppy.rules,ubuntu/aaru5/debian/aaru5.postinst
discimagecreator|debian|node-floppy|2026-07-15|be200a5686a803a5|log:proofs/discimagecreator-debian-node-floppy.log|ubuntu/discimagecreator/debian/70-discimagecreator-floppy.rules,ubuntu/discimagecreator/debian/discimagecreator.postinst
aaru|opensuse|vendor-cap|2026-07-15|fb04b2c21b965da6|log:proofs/aaru-opensuse-vendor-cap.log|opensuse/aaru/aaru.spec
aaru5|opensuse|vendor-cap|2026-07-15|bebcd1ad78937252|blocked:5.4.2:proofs/aaru5-vendor-cap-BLOCKED.md|opensuse/aaru5/aaru5.spec
discimagecreator|opensuse|vendor-cap|2026-07-15|beb10c9e033d5af7|log:proofs/discimagecreator-opensuse-vendor-cap.log|opensuse/discimagecreator/discimagecreator.spec
redumper|opensuse|vendor-cap|2026-07-15|776b3afa06906366|log:proofs/redumper-opensuse-vendor-cap.log|opensuse/redumper/redumper.spec
redumper-rgui|opensuse|vendor-cap|-|-|not-yet|opensuse/redumper-rgui/redumper-rgui.spec
redumper-mpf|opensuse|vendor-cap|-|-|not-yet|opensuse/redumper-mpf/redumper-mpf.spec
aaru|opensuse|node-floppy|2026-07-15|e6a316029155c287|log:proofs/aaru-opensuse-node-floppy.log|opensuse/aaru/70-aaru-floppy.rules,opensuse/aaru/aaru.spec
